p1, variance, error
0.200000 0.000000 0.000000
0.210000 0.000000 0.000000
0.220000 0.000000 0.000000
0.230000 0.000000 0.000000
0.240000 0.000003 0.000002
0.250000 0.000002 0.000001
0.260000 0.000000 0.000000
0.270000 0.001273 0.000194
0.280000 0.001044 0.000183
0.290000 0.050597 0.002643
0.300000 0.286718 0.009720
0.310000 1.391108 0.016183
0.320000 0.720414 0.009699
0.330000 0.704760 0.010714
0.340000 0.662255 0.009254
0.350000 0.624661 0.008762
0.360000 0.593977 0.008517
0.370000 0.546085 0.007804
0.380000 0.558618 0.008037
0.390000 0.515997 0.007403
0.400000 0.525963 0.007535
0.410000 0.476528 0.006840
0.420000 0.466289 0.006565
0.430000 0.475696 0.006528
0.440000 0.447053 0.006429
0.450000 0.438549 0.006040
0.460000 0.440646 0.006456
0.470000 0.464261 0.006325
0.480000 0.436799 0.006470
0.490000 0.442299 0.006408
0.500000 0.427208 0.006072
